"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YOL086C_mRNA",83707.4318715554,-0.0633393973849939,0.266076776611674,-0.238049326181648,0.81184283684908,0.959281817167194
"YNL287W_mRNA",2377.80027916026,-0.485087569908031,0.259570140606425,-1.86881113819462,0.0616490946955604,0.427341994741415
"YLL064C_mRNA",0,NA,NA,NA,NA,NA
"YCR013C_mRNA",25.7674601096407,-0.801391171287594,1.47949406293947,-0.541665689212286,0.58804883017747,0.907446780795729
"YMR152W_mRNA",195.00527758836,-0.619190260517332,0.575720896538538,-1.07550423172087,0.282149038636636,0.749859221562092
"YEL051W_mRNA",811.352419836619,-0.39828779503605,0.345521979093457,-1.15271334136553,0.249028063607767,0.715583898303968
"YNL095C_mRNA",188.771860626386,1.18461377236066,0.75057340435086,1.57827837423201,0.11450167183513,0.54452592005691
"YHR021W-A_mRNA",0,NA,NA,NA,NA,NA
"YOL028C_mRNA",307.633242920546,0.400283071887559,0.623584181910964,0.641907032761636,0.52093354764835,0.877676313549038
"YMR267W_mRNA",110.748321245414,0.389755838760975,0.812458006633093,0.479724287998788,0.63142345517314,0.921724649074378
"YJL065C_mRNA",289.969951418763,0.384204500217932,0.6070041521886,0.632952013314329,0.526764980092348,0.878716369249542
"YLR154C_mRNA",180.141797582205,0.15752924834484,0.598194781087779,0.263341061014246,0.792287714095193,0.953315063010595
"YFL001W_mRNA",461.670561996353,-0.187181198998946,0.399845663487253,-0.468133622774461,0.639689036226817,0.924752177727999
"YMR230W_mRNA",1325.98909656416,0.020981090777116,1.34160921522556,0.0156387497484419,0.987522591628519,0.995990296777773
"YCL073C_mRNA",3.85298540760839,-0.219579580570253,4.53444420923125,-0.0484248058721797,0.961377690264601,NA
"YIL054W_mRNA",0,NA,NA,NA,NA,NA
"YGR056W_mRNA",441.600611673906,-0.583615588986747,0.474803146778164,-1.22917380170486,0.219006649239305,0.690465192739618
"YLR154W-A_mRNA",74.2797396115004,-1.11140937776485,0.894442993177138,-1.24257150678439,0.214025775066024,0.686590927681669
"YDR051C_mRNA",21.9049764899171,1.31016787574877,1.69565878368704,0.772660094326253,0.439723569416394,0.844505389303691
"YNR060W_mRNA",147.997973039178,-0.192730294296243,0.665268294857706,-0.289703110438272,0.772043376543347,0.953315063010595
"YDR353W_mRNA",5089.87383909926,-0.240970101451288,0.248212779819772,-0.970820687098611,0.331637579117517,0.778021539305993
"YKL089W_mRNA",144.700584858588,-0.319088387110168,0.686072991091688,-0.465093934979761,0.641864189098505,0.925476238162981
"YBR018C_mRNA",6.41202182824233,0.569500221555361,2.66100388296693,0.214017057697935,0.830533755233095,NA
"YKL044W_mRNA",11.4938150236633,-3.14171101105589,2.10685489293253,-1.49118528361626,0.135912856294882,NA
"YEL063C_mRNA",1377.06905830632,-0.564136927528326,0.273599853296526,-2.06190508047136,0.0392167737581092,0.353017659016449
